date,day_index,branch,level,label,cash_fee_yuan,regular_fee_yuan,emergency_fee_yuan,emergency_kwh,charge_kwh,discharge_kwh,unused_contract_kwh,curtailment_kwh,S00_kwh,S24_kwh,next_tail_target_soc_kwh,max_physics_residual,template_plan_reference_fee_yuan,template_final_regular_fee_yuan
2025-02-28,58,q4_3,B1,E7_disable_18,22130.956373458655,22130.956373458655,0.0,0.0,18619.16140264949,16487.301612599564,11596.69336244071,10768.161651854354,4915.493927278496,5200.039518351619,5911.808525578556,9.094947017729282e-13,20885.26095837803,22115.401650526972
2025-03-01,59,q4_3,B1,E7_disable_18,16979.117401292246,16979.117401292246,0.0,0.0,22240.565662682893,18752.937076331586,4987.2746044093865,7573.587102434929,5200.039518351619,6531.961375392402,5985.454436246415,2.2737367544323206e-13,16740.64113203979,16569.46424735475
2025-03-02,60,q4_3,B1,E7_disable_18,76491.5305989853,50919.09916379771,25572.431435187616,4460.54172093759,22594.162029856023,21635.835250519336,777.5877905325444,0.0,6531.961375392402,5160.4927026302985,5963.284157189803,9.094947017729282e-13,38397.375051034614,51165.44034639771
2025-03-03,61,q4_3,B1,E7_disable_18,55401.058358450086,55401.058358450086,0.0,0.0,27361.732647927773,23451.80971496885,5735.533179700525,0.0,5160.4927026302985,6397.733487387572,5969.849658617966,4.547473508864641e-13,53940.50637461273,55161.88229912888
2025-03-04,62,q4_3,B1,E7_disable_18,50269.30611402776,50269.30611402776,0.0,0.0,23771.849342555564,22670.84216147838,3393.262631417877,253.4810698324519,6397.733487387572,5052.524020960967,5960.479049657273,1.8189894035458565e-12,46588.97116475453,50857.26859201009
2025-03-05,63,q4_3,B1,E7_disable_18,50343.23942866104,50343.23942866104,0.0,0.0,28931.497287474285,25182.42026353583,7328.766182130372,324.9271500000002,5052.524020960967,5954.750609064613,5972.751374490754,9.094947017729282e-13,47910.96422224346,49999.44284044996
2025-03-06,64,q4_3,B1,E7_disable_18,47476.57351201699,47476.57351201699,0.0,0.0,24796.823346191548,23266.907144092922,4313.166663929422,452.9614156084645,5954.750609064613,4953.60920131322,5956.02027845233,1.8189894035458565e-12,44741.704390859886,47657.811664116976
2025-03-07,65,q4_3,B1,E7_disable_18,23561.92729926937,23561.92729926937,0.0,0.0,19857.250978155436,16861.03283197138,16186.608703998592,11934.00484322823,4953.60920131322,6018.762398850292,5977.073162596076,9.094947017729282e-13,22759.63058342367,23305.255834186035
2025-03-08,66,q4_3,B1,E7_disable_18,14562.602863052658,14562.602863052658,0.0,0.0,21401.470077156206,18993.88593400099,2589.0184330565908,10032.520291659006,6018.762398850292,6300.665891816973,5847.850139152896,9.094947017729282e-13,13807.822642846766,14386.705162985989
2025-03-09,67,q4_3,B1,E7_disable_18,75413.38794531737,43411.24178449495,32002.1461608224,5493.477982713393,22224.24157406188,21437.88781284924,2594.8141011841026,0.0,6300.665891816973,4786.914781046295,5894.90997044825,9.094947017729282e-13,33614.097467338936,43636.066953244954
2025-03-10,68,q4_3,B1,E7_disable_18,52220.70230877598,48611.668483999514,3609.0338247764707,591.2236679052148,27227.29884213648,24619.134467706182,3454.3465633141254,66.960410855547,4786.914781046295,4666.152130308411,5936.1545354460895,9.094947017729282e-13,45859.30086180709,49082.71378404952
2025-03-11,69,q4_3,B1,E7_disable_18,47483.97443843074,47198.18109384886,285.793344581875,43.252870916666666,28654.453028961285,24533.15108639293,3297.4924404897556,13.250070546734833,4666.152130308411,5989.941262311613,5959.245439182795,1.8189894035458565e-12,39252.00654022969,46725.67560120304
2025-03-12,70,q4_3,B1,E7_disable_18,46928.925219386845,45688.27747796691,1240.647741419937,191.7281085555545,27121.617262410924,25063.847726312295,6894.807936817411,0.0,5989.941262311613,5300.151327686219,5855.575406554344,9.094947017729282e-13,44712.58420993212,45596.58016612361
2025-03-13,71,q4_3,B1,E7_disable_18,49782.92844896994,48600.24008776702,1182.688361202925,199.6033575903013,25685.258824383447,23346.418009216508,4182.061124456124,0.0,5300.151327686219,5058.042008650656,5968.980373467727,9.094947017729282e-13,45966.536445834194,48903.07618745618
2025-03-14,72,q4_3,B1,E7_disable_18,20038.366630500335,20038.366630500335,0.0,0.0,20985.221357812337,18000.40283565889,12164.205244384097,14157.471577996155,5058.042008650656,5992.280429621603,5977.526670061863,2.2737367544323206e-13,19053.859471377797,19789.470383300337
2025-03-15,73,q4_3,B1,E7_disable_18,14216.76757768169,14216.76757768169,0.0,0.0,22552.020476884372,19873.5446026604,2597.289999320884,7685.2040318791705,5992.280429621603,6438.450218217373,5969.689025499636,4.547473508864641e-13,13398.297637350608,14031.160060881692
2025-03-16,74,q4_3,B1,E7_disable_18,69451.49197025703,44425.56719821887,25025.924772038146,4218.94699447514,22192.275317402327,21984.20471647739,748.9876084238352,0.0,6438.450218217373,4318.504673747346,5970.96835396656,9.094947017729282e-13,31630.079993357736,45002.7250560939
2025-03-17,75,q4_3,B1,E7_disable_18,42431.90894123388,41979.709717540696,452.1992236931829,91.11260384528978,27256.034106658302,22415.189764498668,4027.579533864304,0.0,4318.504673747346,6548.164388259534,5968.048392035574,1.8189894035458565e-12,38864.42180931299,41402.5518596657
